tweet_id,author_id,created_at,customer_text,brand_response,primary_intent
714,115856,Tue Oct 31 22:19:32 +0000 2017,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",software_update_bugs
723,115859,Tue Oct 31 22:11:16 +0000 2017,@115858 @AppleSupport hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,general_inquiry_other
730,115861,Tue Oct 31 20:46:35 +0000 2017,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",general_inquiry_other
733,115863,Tue Oct 31 22:16:40 +0000 2017,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.,general_inquiry_other
736,115864,Tue Oct 31 22:17:57 +0000 2017,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",general_inquiry_other
747,115865,Tue Oct 31 18:08:04 +0000 2017,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,software_update_bugs
749,115866,Tue Oct 31 22:06:44 +0000 2017,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,app_thirdparty_behavior
756,115868,Tue Oct 31 20:49:07 +0000 2017,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,software_update_bugs
765,115870,Tue Oct 31 18:20:46 +0000 2017,After update #ios1103 no spotify on my lock screen?@AppleSupport,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,device_hardware_battery
1759,116098,Tue Oct 31 18:17:27 +0000 2017,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",general_inquiry_other
1764,116100,Tue Oct 31 22:29:29 +0000 2017,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP,account_appleid_security
1770,116101,Tue Oct 31 22:07:33 +0000 2017,@AppleSupport why is my home sharing not working and how do i fix it,@116101 We're happy to help. Has Home Sharing worked with these devices before?,general_inquiry_other
1781,116104,Tue Oct 31 22:27:15 +0000 2017,@AppleSupport why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,@116104 Let us look into that. What device and OS version are you using?,audio_accessory_hardware
1785,116106,Tue Oct 31 22:27:34 +0000 2017,@AppleSupport epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,@116106 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_inquiry_other
