tweet_id,customer_text,brand_response,human_final_intent,human_final_escalation,difficulty,human_groundedness,human_correctness,human_tone,human_safety,human_notes
763627,@AppleSupport I got an iphone 6 with straight talk just like my 5....erased all content and tried inserting my sim card but it is saying the carriers dont match. how do i fix this,@302490 We know it's important to be able to use your iPhone as expected. What is the exact error message you're running into?,app_thirdparty_behavior,False,Complex,,,,,
753270,@AppleSupport every single one of my photos in iCloud is super blurry and shows a (!) in the bottom left. Why?,@251108 That's not the experience we want you to have. Join us in DM: https://t.co/GDrqU22YpT,account_appleid_security,True,Complex,,,,,
1285607,@AppleSupport Is Twitter available on an Apple Watch.,@352114 The watch can only show notifications from the iPhone for Twitter.,app_thirdparty_behavior,False,Simple,,,,,
2079658,@AppleSupport i have 2 sets of headphones where the right ear doesnt work. if i bring it to an Apple store will they exchange for new ones?,@615065 We'd like to look into this so we can provide you with the best information. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT,audio_accessory_hardware,True,Simple,,,,,
1497935,"@applesupport 11.1 battery Prior to the update, Youtube could run 9+ hours from full battery and I'd still have 30-40% remaining.",@467789 We'd be happy to look into this issue with you. Have you tried any troubleshooting yet? https://t.co/GDrqU22YpT,software_update_bugs,False,Complex,,,,,
1349522,Im gonna need my phone to stop connecting to WiFi that isn’t there @AppleSupport,@434697 We'd like to help. Tell us a bit more about the issue you're experiencing with Wi-Fi. Which version of iOS is installed?,connectivity_network_bluetooth,False,Simple,,,,,
1449294,2 Apple techs independently agreed my Apple Watch repair should be under warranty but @AppleSupport still won’t fix it  🤔,"@456305 Hey, we want to hear more about what's going on. DM us more details and we'll look into this together. https://t.co/GDrqU22YpT",billing_subscriptions_refunds,True,Complex,,,,,
2374353,So my iPhone dies within 45 minutes to an hour after being fully charged. I️ don’t even have to be using it for a couple hours and I️t will go down at least 30%. @AppleSupport @115858 I️ only bought it 2 and a half years ago.,"@679925  We'd love to help with your battery concerns. Part of this is ensuring you are updated with the most updated version. An update has been released to assist with the autocorrect issue. If needed, back up your device frst. Send us a DM if you still see this behavior. https://t.co/GDrqU22YpT",device_hardware_battery,False,Complex,,,,,
1000152,I have the same question Kristi for AT&amp;T. It sounds like it might be an Apple issue. @117735 @AppleSupport https://t.co/UHM3RWZvFK,"@356787 Hi Martin! Plry activating your device again. If the issue persist, try these steps and DM the result: https://t.co/ywHIZGN4Ac https://t.co/GDrqU22YpT",account_appleid_security,True,Simple,,,,,
559036,@AppleSupport trying to download disney infinity on iPad but unable to locate it. Please advise how to recover. Thanks.,"@250648 So that we're on the same page, you had this installed in the past, but deleted it?",app_thirdparty_behavior,False,Complex,,,,,
2404961,@AppleSupport I need after sales support. I have a case opened for the past 2 to 3 weeks with no fix. I am not happy with the level of support and I am a frustrated it customer bought a product a month ago that become out of production 10 days after me buying it. series 2 watch!,@691749 We'd be happy to look into this with you. DM us and we'll get started there. https://t.co/GDrqU22YpT,device_hardware_battery,True,Complex,,,,,
2016017,@AppleSupport Why’d you drop the kill switch on the last update? #help,"@596166 Are you experiencing an issue with your device after updating? If so, send us a DM with more information. We'll meet you there. https://t.co/GDrqU22YpT",software_update_bugs,False,Moderate,,,,,
1779084,@AppleSupport how to I fix this,@324911 We'd like to help you out with any trouble that you're having. Please send us a DM with the details to begin. https://t.co/GDrqU22YpT,general_inquiry_other,False,Moderate,,,,,
2361678,@AppleSupport I bought a game on the Mac App Store that isn’t compatible with my machine in spite of verifying the requirements before purchasing. Can I be refunded for this un-playable game that I bought under false pretences?,@681945 We'd love to help with this and recommend that you reach out to our iTunes Store team directly about a refund. Click here to get started: https://t.co/SDIe7UiyJN,billing_subscriptions_refunds,True,Complex,,,,,
2008419,@AppleSupport new software update has my iPhone 7 no longer working? The iPhone 7 was purchased 6/26/17 🤔🤦‍♂️,@593891 What issues are you having with your iPhone 7? We would like to help.,software_update_bugs,False,Simple,,,,,
2008033,@AppleSupport this update is garb. Please help,@517927 We can help with your Apple products and services. Send us a DM with the details of what you're experiencing. https://t.co/GDrqU2kzhr,general_inquiry_other,False,Simple,,,,,
1144278,@AppleSupport @15443 How are we meant to watch #TheShannaraChronicles each week on SPIKE when that channel isn’t broadcast in Australia? https://t.co/kZpe5ODsXu,@389333 Let's get you to the right spot. Please reach out to our iTunes Store team for help:  https://t.co/SDIe7UiyJN,app_thirdparty_behavior,False,Complex,,,,,
