tweet_id,customer_text,brand_response,human_final_intent,human_final_escalation,difficulty,reviewer_notes,human_verified
505071,"@AppleSupport I’ve never been able to figure out how to set all my family members up on our Apple Music family subscription without their song likes, plays and library additions showing up on my profile (which is the master account). Any detailed instructions anywhere on this?",@235792 We'd like to help out the best way we can with your family's subscription to Apple Music and your library. Does their additions and songs appear on only one device or multiple? How many family members do you have on the account? Do these appear from all members?,app_thirdparty_behavior,False,Complex,"Candidate label was incorrect. Customer is asking about Apple Music Family/library behavior, not Apple ID security. Historical resolution provides a troubleshooting direction.",True
2890764,Really hacked off @AppleSupport @115858 iPhone alarm didn’t go off all because the phone was open on apps page it seems the phone notifications freezes when iPhone is open and on app boxes all my notifications came after I exited the box 😡,@801419 We want to be sure your iPhone is functioning as you'd expect it to. We'd like to look into this further with you. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,app_thirdparty_behavior,False,Complex,"Candidate label was incorrect. Customer is asking about Apple Music Family/library behavior, not Apple ID security. Historical resolution provides a troubleshooting direction.",True
2544002,"OH MY FUCKING GOD I AM SO HAPPY, I have access to my account again, thank you @AppleSupport  @115858 YOU ARE GREAT 😍😍😍","@192864 Awesome! Thanks for letting us know the issues are resolved. If you have other questions or concerns, please let us know. Have a great day.",account_appleid_security,False,Simple,"Candidate label was incorrect. Customer is asking about Apple Music Family/library behavior, not Apple ID security. Historical resolution provides a troubleshooting direction.",True
1647397,"@AppleSupport Received an email from __email__
Is my account #compromised  #Phishing #Appstore #Apple #AppleNews https://t.co/gb2axaTDvu",@503312 It's great that you're being cautious. This isn't a legitimate Apple email. Here's a guide with more info: https://t.co/sayPykspsk,account_appleid_security,False,Simple,,True
2908112,@AppleSupport it appears something has happened to my old photos in the icloud.  Can you help fix this? https://t.co/6F3xmoBK7D,@259259 We'd like to help! Can you tell us the version of iOS that you are running on your device?,account_appleid_security,False,Simple,,True
522080,Hi @AppleSupport I'm locked out of my ipad can you help ?,@240571 Thank you for reaching out. We received your DM and will continue to work with you there.,account_appleid_security,True,Moderate,,True
2918880,"Hi @AppleSupport, Is it normal that: When enabling “Find my Mac” on iCloud on my #Mac, the “root"" get’s enabled automatically? I never gave ""permission"" Isn’t that a HUGE* “security"" issue on MacOS High Sierra? Are you aware of it @115858? #Mac #Apple #HighSierra",@312173 We appreciate your concern. Please DM us so we can look into this with you. DM us here: https://t.co/GDrqU22YpT,account_appleid_security,True,Complex,,True
2371103,@AppleSupport is icloud webmail having login issues at the moment I'm receiving a cannot contact server message,@684185 We'd like to help. All services appear to be up and running: https://t.co/xR0BAXItoi Could you tell us which device you're experiencing this issue with?,account_appleid_security,True,Simple,,True
121544,"@AppleSupport I upgraded to iPhone8 from 6s, and am wondering if I could find out how many old (6s) backups I still have on iCloud. Are backups identified by device?","@143060 We’d be happy to help with iCloud. You’ll be able to see a list of your backups by device if you tap Settings &gt; [name] &gt; iCloud &gt; Manage Storage &gt; Backup. Let us know if you have any additional questions, and we'll be happy to help further.",account_appleid_security,False,Complex,,True
512464,I'm tired of my apple account of getting locked out for charges I didn't make. I changed everything but not my ID. Looks like I'll be calling @AppleSupport to get my ID changed. 😒,"@237857 We certainly want to help you resolve this as quickly as possible. If you have charges on the account that aren't familiar to you, please reach out to our iTunes Store Advisors to help get these sorted out here: https://t.co/SDIe7UiyJN",account_appleid_security,True,Complex,,True
