case_number,tweet_id,customer_text,main_agent_reply,retrieved_evidence_1,retrieved_evidence_2,retrieved_evidence_3,human_groundedness,human_correctness,human_tone,human_safety,human_notes,,,,,,,,,,,,,,,,,
1,763627,@AppleSupport I got an iphone 6 with straight talk just like my 5....erased all content and tried inserting my sim card but it is saying the carriers dont match. how do i fix this,"We hear you and want to help resolve this. @595379 Great question! We want to get to the bottom of this with you. Send is a DM with your iOS version, and we'll help! https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@595379 Great question! We want to get to the bottom of this with you. Send is a DM with your iOS version, and we'll help! https://t.co/GDrqU22YpT",@223354 We're happy to help. Tell us where did you order your iPhone from?,@157656 We'd like to guide you in the right direction. DM us what country or region you're located in. https://t.co/GDrqU22YpT,5,2,5,5,,,,,,,,,,,,,,,,,,
2,753270,@AppleSupport every single one of my photos in iCloud is super blurry and shows a (!) in the bottom left. Why?,We're here to help! @641748 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,@641748 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,@468431 We're here for you. Let us know in DM the iOS version on the iPhone to get started. https://t.co/GDrqU22YpT,@166341 We're here to help. Are you using iCloud Photo Library and Optimize Storage? Check in Settings &gt; Your Name &gt; iCloud &gt; Photos,5,3,5,5,,,,,,,,,,,,,,,,,,
3,1285607,@AppleSupport Is Twitter available on an Apple Watch.,We're here to help! @430879 We’re glad you reached out! What kind of issue are you having with Twitter on the Apple Watch? Does the app not open?,@430879 We’re glad you reached out! What kind of issue are you having with Twitter on the Apple Watch? Does the app not open?,@499233 We can help! Which device is it missing from? Reply in DM to get started. https://t.co/GDrqU22YpT,@224493 Thanks for reaching out. This article can help with how to back up your Apple Watch: https://t.co/xtVcdNyZwx Let us know if you have any additional questions. We're happy to help.,5,2,5,5,,,,,,,,,,,,,,,,,,
4,2079658,@AppleSupport i have 2 sets of headphones where the right ear doesnt work. if i bring it to an Apple store will they exchange for new ones?,Thanks for reaching out to Apple Support! Please send us a Direct Message with your device details and we'll be happy to assist.,@190081 We can save you a trip! Please DM us to continue. https://t.co/GDrqU22YpT,@502580 We're here to help! Does your selfie camera still work for pictures and videos? We want to make sure it's not the camera.,@135043 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this issue with you there. https://t.co/GDrqU22YpT,5,3,5,5,,,,,,,,,,,,,,,,,,
5,1497935,"@applesupport 11.1 battery Prior to the update, Youtube could run 9+ hours from full battery and I'd still have 30-40% remaining.",We hear you and want to help resolve this. @437098 We're here for you! We know battery life is important. Meet us in DM so we can take a look: https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.,@437098 We're here for you! We know battery life is important. Meet us in DM so we can take a look: https://t.co/GDrqU22YpT,@177845 DM us and we can continue to take a look at this for you. https://t.co/GDrqU22YpT,@543972 We'd be happy to check on this with you. When did you perform your last update? Send us the details via DM. https://t.co/GDrqU22YpT,5,4,5,5,,,,,,,,,,,,,,,,,,
6,1349522,Im gonna need my phone to stop connecting to WiFi that isn’t there @AppleSupport,We're here to help! @308755 We want to get your connection back. Which iPhone and iOS version are you using?,@308755 We want to get your connection back. Which iPhone and iOS version are you using?,"@123145 Is this happening on all networks, or just some in particular? Let us know in a DM. https://t.co/GDrqU22YpT","@586696 Thanks for reaching out, we want to help.  Let's gather some information to better assist you.  What version of iOS is on your device?  Please go to Settings &gt; General &gt; About to get that information.",5,4,5,5,,,,,,,,,,,,,,,,,,
7,1449294,2 Apple techs independently agreed my Apple Watch repair should be under warranty but @AppleSupport still won’t fix it  🤔,"We hear you and want to help resolve this. @248283 Sure thing, we're here for you! Shoot us a DM with your question and we'll go from there. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@248283 Sure thing, we're here for you! Shoot us a DM with your question and we'll go from there. https://t.co/GDrqU22YpT",@224493 Thanks for reaching out. This article can help with how to back up your Apple Watch: https://t.co/xtVcdNyZwx Let us know if you have any additional questions. We're happy to help.,@144390 We'd like to look into this with you. Could you DM us the device model and exact version of iOS running? https://t.co/GDrqU22YpT,5,3,5,5,,,,,,,,,,,,,,,,,,
8,2374353,So my iPhone dies within 45 minutes to an hour after being fully charged. I️ don’t even have to be using it for a couple hours and I️t will go down at least 30%. @AppleSupport @115858 I️ only bought it 2 and a half years ago.,"We hear you and want to help resolve this. @159411 We want to help. Join us in DM with additional details, such as the currently installed iOS version, to get started: https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@159411 We want to help. Join us in DM with additional details, such as the currently installed iOS version, to get started: https://t.co/GDrqU22YpT",@530245 This is certainly not the behavior we want you to experience. Could you tell us which  iOS version you're using?,@680604 Thanks for reaching out to us. Let's continue in DM. We'll work together to see if there's anything we can to do resolve this and get you your app. https://t.co/GDrqU22YpT,5,4,5,5,,,,,,,,,,,,,,,,,,
9,1000152,I have the same question Kristi for AT&amp;T. It sounds like it might be an Apple issue. @117735 @AppleSupport https://t.co/UHM3RWZvFK,"We hear you and want to help resolve this. @606731 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@606731 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",@477752 We want to help. Have you tried the steps here? : https://t.co/ywHIZGN4Ac,@592653  We're here for you. Please try these steps and DM us if you still cannot activate your iPhone: https://t.co/ywHIZGN4Ac https://t.co/GDrqU22YpT,5,3,5,5,,,,,,,,,,,,,,,,,,
10,559036,@AppleSupport trying to download disney infinity on iPad but unable to locate it. Please advise how to recover. Thanks.,"We hear you and want to help resolve this. @486003 We'd be happy to help. Are you receiving any error messages? What device are you using? DM us back, we'll continue there. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.","@486003 We'd be happy to help. Are you receiving any error messages? What device are you using? DM us back, we'll continue there. https://t.co/GDrqU22YpT","@128899 Thanks for reaching out! Take a look at the steps here under ""If you need help updating"": https://t.co/s6t9pl6tpv",@784256 We want to help! What device are you using? Are you getting a particular error message?,5,4,5,5,,,,,,,,,,,,,,,,,,
