case_number,customer_text,main_agent_reply,human_groundedness,human_correctness,human_tone,human_safety,llm_groundedness,llm_correctness,llm_tone,llm_safety,llm_overall,llm_reason
1,@AppleSupport I got an iphone 6 with straight talk just like my 5....erased all content and tried inserting my sim card but it is saying the carriers dont match. how do i fix this,"We hear you and want to help resolve this. @595379 Great question! We want to get to the bottom of this with you. Send is a DM with your iOS version, and we'll help! https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,2.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
2,@AppleSupport every single one of my photos in iCloud is super blurry and shows a (!) in the bottom left. Why?,We're here to help! @641748 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,5.0,3.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
3,@AppleSupport Is Twitter available on an Apple Watch.,We're here to help! @430879 We’re glad you reached out! What kind of issue are you having with Twitter on the Apple Watch? Does the app not open?,5.0,2.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
4,@AppleSupport i have 2 sets of headphones where the right ear doesnt work. if i bring it to an Apple store will they exchange for new ones?,Thanks for reaching out to Apple Support! Please send us a Direct Message with your device details and we'll be happy to assist.,5.0,3.0,5.0,5.0,2,3,5,5,3.8,No retrieved evidence provided; generic boilerplate response. Generic response.
5,"@applesupport 11.1 battery Prior to the update, Youtube could run 9+ hours from full battery and I'd still have 30-40% remaining.",We hear you and want to help resolve this. @437098 We're here for you! We know battery life is important. Meet us in DM so we can take a look: https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.,5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
6,Im gonna need my phone to stop connecting to WiFi that isn’t there @AppleSupport,We're here to help! @308755 We want to get your connection back. Which iPhone and iOS version are you using?,5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
7,2 Apple techs independently agreed my Apple Watch repair should be under warranty but @AppleSupport still won’t fix it  🤔,"We hear you and want to help resolve this. @248283 Sure thing, we're here for you! Shoot us a DM with your question and we'll go from there. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,3.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
8,So my iPhone dies within 45 minutes to an hour after being fully charged. I️ don’t even have to be using it for a couple hours and I️t will go down at least 30%. @AppleSupport @115858 I️ only bought it 2 and a half years ago.,"We hear you and want to help resolve this. @159411 We want to help. Join us in DM with additional details, such as the currently installed iOS version, to get started: https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
9,I have the same question Kristi for AT&amp;T. It sounds like it might be an Apple issue. @117735 @AppleSupport https://t.co/UHM3RWZvFK,"We hear you and want to help resolve this. @606731 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,3.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
10,@AppleSupport trying to download disney infinity on iPad but unable to locate it. Please advise how to recover. Thanks.,"We hear you and want to help resolve this. @486003 We'd be happy to help. Are you receiving any error messages? What device are you using? DM us back, we'll continue there. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
11,@AppleSupport I need after sales support. I have a case opened for the past 2 to 3 weeks with no fix. I am not happy with the level of support and I am a frustrated it customer bought a product a month ago that become out of production 10 days after me buying it. series 2 watch!,Thanks for reaching out to Apple Support! Please send us a Direct Message with your device details and we'll be happy to assist.,5.0,3.0,5.0,5.0,2,3,5,5,3.8,No retrieved evidence provided; generic boilerplate response. Generic response.
12,@AppleSupport Why’d you drop the kill switch on the last update? #help,"We're here to help. Try restarting your device, ensuring you have a backup, and checking Settings > General > Software Update. If the issue persists, send us a DM!",2.0,2.0,4.0,4.0,3,4,5,5,4.2,Domain response provided without explicit historical evidence match. Addresses issue category with relevant guidance.
13,@AppleSupport how to I fix this,"We hear you and want to help resolve this. @118250 We want to help you. DM us, and let us know what's going on. We'll look into this. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,3.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
14,@AppleSupport I bought a game on the Mac App Store that isn’t compatible with my machine in spite of verifying the requirements before purchasing. Can I be refunded for this un-playable game that I bought under false pretences?,We hear you and want to help resolve this. @142519 Hey there! Thanks for asking; we'd love to help with this! Animal Crossing is available for iOS devices running iOS 9 or later. It's not currently available for Mac computers. Send us a DM with your iOS version and device model so we can take a closer look.,2.0,1.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
15,@AppleSupport new software update has my iPhone 7 no longer working? The iPhone 7 was purchased 6/26/17 🤔🤦‍♂️,"We're here to help. Try restarting your device, ensuring you have a backup, and checking Settings > General > Software Update. If the issue persists, send us a DM!",5.0,2.0,5.0,5.0,3,4,5,5,4.2,Domain response provided without explicit historical evidence match. Addresses issue category with relevant guidance.
16,@AppleSupport this update is garb. Please help,"We're here to help! @285046 Having your device up to date is important &amp; we'd like to help. So we're clear, what happens when you attempt to update?",5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
17,@AppleSupport @15443 How are we meant to watch #TheShannaraChronicles each week on SPIKE when that channel isn’t broadcast in Australia? https://t.co/kZpe5ODsXu,"We hear you and want to help resolve this. @234433 Based on the video, we are unable to discern what the issue is. Please send us a DM with details about what is going on. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.",5.0,4.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
18,"@AppleSupport anyone know how to save show notes of a podcast, including the links not just as plain text into Apple Name notes or Evernote?",We hear you and want to help resolve this. @522074 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT Send us a DM with your iOS version and device model so we can take a closer look.,5.0,2.0,5.0,5.0,5,5,5,5,5.0,Response is directly grounded in retrieved historical evidence. Provides actionable troubleshooting steps directly answering the customer's issue.
19,"Dude @AppleSupport , my App Store is having issues loading the Updates page!!!","We're here to help! @121159 Thanks for reaching out, we’ll be glad to help. Can you confirm if this happens after a restart? https://t.co/OWRDHWSt4h",5.0,4.0,5.0,5.0,5,2,5,5,4.2,Response is directly grounded in retrieved historical evidence. Customer asked a specific technical question that was left unanswered by generic boilerplate.
